story,question,answer,i,dataGenSeq,sType,qTypeRaw,qTypeTomOrNot,qOrder,storyHasToM,answerMem,answerReal,qToMandOmniReader,answerMemOrReal,cands,correct,falseTrueBelief,factVsMind
Lily entered the sunroom. Mila entered the laundry. Lily exited the sunroom. Liam entered the laundry. The turnip is in the basket. Mila exited the laundry. Mila likes the trousers. Liam moved the turnip to the treasure chest.,Where will Mila look for the turnip?,basket,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,first_order_0_tom,True,first_order,True,basket,treasure chest,False,memory,"[""treasure chest"", ""basket""]",1,false,mind
Jack entered the TV room. Avery entered the TV room. Liam entered the crawlspace. The corn is in the basket. Jack exited the TV room. Avery moved the corn to the drawer.,Where was the corn at the beginning?,basket,1,"enter_agent_1,enter_agent_0,agent_2_enters,agent_1_exits,agent_0_moves_obj",false_belief,memory,False,memory,True,basket,drawer,False,memory,"[""drawer"", ""basket""]",1,true,fact
Jayden entered the bathroom. Sophia entered the bathroom. Lucas entered the bathroom. The raincoat is in the basket. Sophia moved the raincoat to the box. Jayden exited the bathroom.,Where does Sophia think that Jayden searches for the raincoat?,box,1,"enter_agent_1,enter_agent_0,agent_2_enters,agent_0_moves_obj,agent_1_exits",true_belief,second_order_1_no_tom,False,second_order,False,basket,box,False,reality,"[""box"", ""basket""]",0,true,mind
Emma entered the study. Amelia entered the study. The jacket is in the container. Amelia exited the study. Lucas entered the dining room. Lucas exited the dining room. Amelia entered the study. Emma moved the jacket to the envelope. Amelia dislikes the pear.,Where does Amelia think that Emma searches for the jacket?,envelope,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_2_enters,agent_2_exits,agent_0_moves_obj",true_belief,second_order_1_no_tom,False,second_order,False,container,envelope,False,reality,"[""container"", ""envelope""]",1,true,mind
Lily entered the lounge. Evelyn entered the lounge. Ella entered the lounge. The sweet potato is in the drawer. Evelyn exited the lounge. Ella likes the spinach. Ella moved the sweet potato to the crate. Ella exited the lounge. Evelyn entered the patio. Evelyn loves the persimmon.,Where was the sweet_potato at the beginning?,drawer,1,"agent_2_enters,enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,memory,False,memory,True,drawer,crate,False,memory,"[""drawer"", ""crate""]",0,true,fact
Ava entered the study. Mila dislikes the turnip. Mila entered the study. The sweater is in the cupboard. Jack entered the study. Jack exited the study. Ava moved the sweater to the suitcase. Mila exited the study. Ava exited the study. Ava likes the socks. Mila entered the closet.,Where was the sweater at the beginning?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_2_enters,agent_2_exits,agent_1_exits,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,memory,False,memory,False,cupboard,suitcase,False,memory,"[""cupboard"", ""suitcase""]",0,true,fact
Amelia loves the suit. Nathan entered the den. Amelia entered the den. The suit is in the bottle. Amelia exited the den. Amelia entered the pantry. Nathan moved the suit to the envelope.,Where does Amelia think that Nathan searches for the suit?,bottle,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_alt_loc,agent_0_moves_obj",true_belief,second_order_1_tom,True,second_order,True,bottle,envelope,False,memory,"[""bottle"", ""envelope""]",0,false,mind
Hannah likes the grapefruit. Evelyn entered the pantry. Logan entered the pantry. Hannah entered the pantry. The eggplant is in the box. Hannah moved the eggplant to the envelope. Evelyn exited the pantry. Logan exited the pantry.,Where does Logan think that Hannah searches for the eggplant?,envelope,1,"agent_2_enters,enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_2_exits",true_belief,second_order_0_no_tom,False,second_order,False,box,envelope,False,reality,"[""box"", ""envelope""]",1,true,mind
Ava entered the closet. Alexander entered the closet. Alexander dislikes the shirt. The pineapple is in the box. Alexander exited the closet. Ava moved the pineapple to the drawer. Ava exited the closet. Alexander entered the closet. Jacob entered the front yard.,Where is the pineapple really?,drawer,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_1_reenters_loc,agent_2_enters",second_order_false_belief,reality,False,reality,True,box,drawer,False,reality,"[""box"", ""drawer""]",1,true,fact
Olivia entered the porch. Carter entered the porch. Olivia likes the lemon. Lucas entered the den. The raincoat is in the drawer. Lucas exited the den. Olivia exited the porch. Carter moved the raincoat to the cupboard. Olivia entered the porch.,Where is the raincoat really?,cupboard,1,"enter_agent_1,enter_agent_0,agent_2_enters,agent_1_exits,agent_2_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,reality,False,reality,False,drawer,cupboard,False,reality,"[""drawer"", ""cupboard""]",1,true,fact
Aria entered the dining room. Jackson entered the dining room. Liam entered the dining room. Jackson dislikes the boots. The cabbage is in the basket. Jackson exited the dining room. Aria exited the dining room. Liam moved the cabbage to the box. Jackson entered the dining room.,Where does Liam think that Jackson searches for the cabbage?,box,1,"agent_2_enters,enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_2_exits,agent_1_reenters_loc",false_belief,second_order_1_no_tom,False,second_order,False,basket,box,False,reality,"[""box"", ""basket""]",0,true,mind
Olivia entered the crawlspace. Jayden entered the attic. Sophia entered the crawlspace. The grapes is in the box. Olivia exited the crawlspace. Sophia moved the grapes to the drawer. Olivia dislikes the cherry.,Where does Olivia think that Sophia searches for the grapes?,box,1,"enter_agent_1,agent_2_enters,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,second_order_0_tom,True,second_order,True,box,drawer,False,memory,"[""box"", ""drawer""]",0,false,mind
Amelia entered the kitchen. Emily is in the kitchen. Emily loves the orange. The banana is in the envelope. Amelia likes the beans. Amelia moved the banana to the drawer. Emily exited the kitchen. Lily entered the patio. Amelia exited the kitchen. Emily entered the patio.,Where will Amelia look for the banana?,drawer,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_2_enters,agent_1_reenters_alt_loc",second_order_false_belief,first_order_0_no_tom,False,first_order,False,envelope,drawer,False,reality,"[""drawer"", ""envelope""]",0,true,mind
James entered the cellar. Emma entered the garage. James loves the undershirt. Ethan entered the cellar. The underpants is in the bathtub. Ethan likes the cap. James exited the cellar. James entered the cellar. Ethan moved the underpants to the suitcase.,Where will Ethan look for the underpants?,suitcase,1,"enter_agent_1,agent_2_enters,enter_agent_0,agent_1_exits,agent_1_reenters_loc,agent_0_moves_obj",true_belief,first_order_1_no_tom,False,first_order,False,bathtub,suitcase,False,reality,"[""suitcase"", ""bathtub""]",0,true,mind
Isla entered the front yard. Benjamin entered the front yard. The lemon is in the drawer. Isla moved the lemon to the cupboard. Benjamin exited the front yard. Benjamin entered the front yard.,Where will Benjamin look for the lemon?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_1_reenters_loc",true_belief,first_order_1_no_tom,False,first_order,False,drawer,cupboard,False,reality,"[""drawer"", ""cupboard""]",1,true,mind
Elizabeth entered the den. Jack entered the den. Jayden entered the bedroom. The broccoli is in the box. Jayden exited the bedroom. Elizabeth moved the broccoli to the drawer. Jack exited the den.,Where was the broccoli at the beginning?,box,1,"enter_agent_0,enter_agent_1,agent_2_enters,agent_0_moves_obj,agent_2_exits,agent_1_exits",true_belief,memory,False,memory,False,box,drawer,False,memory,"[""box"", ""drawer""]",0,true,fact
Mason entered the bedroom. Isabella entered the bedroom. Carter entered the bedroom. The pineapple is in the bottle. Mason moved the pineapple to the crate. Carter exited the bedroom. Isabella exited the bedroom. Mason exited the bedroom. Isabella entered the hallway.,Where will Isabella look for the pineapple?,crate,1,"enter_agent_0,enter_agent_1,agent_2_enters,agent_0_moves_obj,agent_1_exits,agent_2_exits,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,first_order_1_no_tom,False,first_order,False,bottle,crate,False,reality,"[""bottle"", ""crate""]",1,true,mind
Noah entered the staircase. Ava entered the staircase. The shirt is in the box. Ava exited the staircase. Noah moved the shirt to the bathtub. Ava entered the staircase.,Where does Ava think that Noah searches for the shirt?,bathtub,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,second_order_1_no_tom,False,second_order,False,box,bathtub,False,reality,"[""box"", ""bathtub""]",1,true,mind
William entered the bathroom. Lily entered the bathroom. Benjamin entered the pantry. The sweater is in the treasure chest. Lily moved the sweater to the container. William exited the bathroom. William entered the pantry.,Where will William look for the sweater?,container,1,"enter_agent_1,enter_agent_0,agent_2_enters,agent_0_moves_obj,agent_1_exits,agent_1_reenters_alt_loc",true_belief,first_order_0_no_tom,False,first_order,False,treasure chest,container,False,reality,"[""treasure chest"", ""container""]",1,true,mind
Charlotte entered the master bedroom. Mila entered the master bedroom. Alexander entered the master bedroom. The hat is in the container. Alexander exited the master bedroom. Charlotte moved the hat to the crate. Alexander entered the garage.,Where will Alexander look for the hat?,container,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_alt_loc",false_belief,first_order_1_tom,True,first_order,True,container,crate,False,memory,"[""container"", ""crate""]",0,false,mind
Jack entered the closet. Alexander entered the closet. Liam loves the scarf. The sweater is in the bucket. Jack moved the sweater to the cupboard. Alexander exited the closet. Liam entered the living room.,Where is the sweater really?,cupboard,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_2_enters",true_belief,reality,False,reality,False,bucket,cupboard,False,reality,"[""bucket"", ""cupboard""]",1,true,fact
Elizabeth loves the stockings. Elizabeth entered the playroom. Lily entered the playroom. The pineapple is in the bathtub. Lily exited the playroom. Elizabeth moved the pineapple to the treasure chest. Elizabeth exited the playroom. Lily entered the playroom.,Where is the pineapple really?,treasure chest,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,reality,False,reality,True,bathtub,treasure chest,False,reality,"[""treasure chest"", ""bathtub""]",0,true,fact
Jacob entered the kitchen. Liam entered the kitchen. Oliver hates the celery. The celery is in the bathtub. Liam moved the celery to the box. Oliver entered the kitchen. Jacob exited the kitchen.,Where will Liam look for the celery?,box,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_2_enters",true_belief,first_order_1_no_tom,False,first_order,False,bathtub,box,False,reality,"[""box"", ""bathtub""]",0,true,mind
Amelia entered the playroom. Emma entered the playroom. The tie is in the bottle. Emma likes the cabbage. Emma exited the playroom. Amelia dislikes the cucumber. Jacob entered the den. Emma entered the playroom. Amelia moved the tie to the bucket.,Where does Amelia think that Emma searches for the tie?,bucket,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_loc,agent_2_enters,agent_0_moves_obj",true_belief,second_order_0_no_tom,False,second_order,False,bottle,bucket,False,reality,"[""bottle"", ""bucket""]",1,true,mind
Isabella entered the TV room. Jayden hates the broccoli. Elizabeth entered the TV room. The cherry is in the bottle. Elizabeth moved the cherry to the bucket. Isabella exited the TV room.,Where is the cherry really?,bucket,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,reality,False,reality,False,bottle,bucket,False,reality,"[""bottle"", ""bucket""]",1,true,fact
Evelyn entered the cellar. Hunter entered the laundry. Owen entered the cellar. Hunter exited the laundry. The t-shirt is in the envelope. Evelyn exited the cellar. Evelyn entered the laundry. Owen moved the t-shirt to the bucket. Owen likes the belt.,Where is the t-shirt really?,bucket,1,"enter_agent_1,agent_2_enters,enter_agent_0,agent_2_exits,agent_1_exits,agent_1_reenters_alt_loc,agent_0_moves_obj",true_belief,reality,False,reality,True,envelope,bucket,False,reality,"[""bucket"", ""envelope""]",0,true,fact
Owen dislikes the eggplant. Oliver entered the crawlspace. Owen entered the crawlspace. The shirt is in the crate. Owen moved the shirt to the envelope. Owen loves the onion. Oliver exited the crawlspace. Jack entered the pantry. Owen exited the crawlspace. Oliver entered the pantry.,Where is the shirt really?,envelope,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_2_enters,agent_1_reenters_alt_loc",second_order_false_belief,reality,False,reality,False,crate,envelope,False,reality,"[""envelope"", ""crate""]",0,true,fact
Owen entered the lounge. Avery hates the peach. Nathan entered the lounge. The suit is in the cupboard. Avery entered the basement. Owen likes the jeans. Owen exited the lounge. Nathan moved the suit to the bucket. Nathan exited the lounge. Avery exited the basement. Owen entered the basement.,Where will Owen look for the suit?,cupboard,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj,agent_0_exits,agent_1_reenters_alt_loc,agent_2_exits",second_order_false_belief,first_order_0_tom,True,first_order,True,cupboard,bucket,False,memory,"[""bucket"", ""cupboard""]",1,false,mind
Isla entered the closet. Hannah entered the closet. The peas is in the treasure chest. Isla moved the peas to the pantry. Logan entered the kitchen. Hannah exited the closet. Hannah entered the kitchen.,Where was the peas at the beginning?,treasure chest,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_2_enters,agent_1_reenters_alt_loc",true_belief,memory,False,memory,False,treasure chest,pantry,False,memory,"[""pantry"", ""treasure chest""]",1,true,fact
Mila entered the den. Jayden entered the den. The grapes is in the drawer. James loves the hat. Jayden moved the grapes to the pantry. Mila exited the den. Jayden exited the den. Mila entered the den.,Where does Mila think that Jayden searches for the grapes?,pantry,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc",second_order_false_belief,second_order_0_no_tom,False,second_order,False,drawer,pantry,False,reality,"[""pantry"", ""drawer""]",0,true,mind
Logan entered the pantry. Oliver entered the pantry. Hannah entered the pantry. The celery is in the crate. Hannah exited the pantry. Oliver loves the slippers. Logan exited the pantry. Oliver moved the celery to the basket.,Where is the celery really?,basket,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_2_exits",false_belief,reality,False,reality,True,crate,basket,False,reality,"[""crate"", ""basket""]",1,true,fact
Isla entered the laundry. Olivia entered the laundry. The tie is in the crate. Olivia exited the laundry. Isla moved the tie to the container. Olivia entered the laundry. Ella loves the jeans.,Where is the tie really?,container,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,reality,False,reality,False,crate,container,False,reality,"[""container"", ""crate""]",0,true,fact
Jayden entered the workshop. Liam entered the closet. Mila entered the workshop. Liam loves the sweater. The raincoat is in the bottle. Jayden moved the raincoat to the bucket. Liam exited the closet. Mila exited the workshop.,Where does Jayden think that Mila searches for the raincoat?,bucket,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_2_exits",true_belief,second_order_0_no_tom,False,second_order,False,bottle,bucket,False,reality,"[""bottle"", ""bucket""]",1,true,mind
Charlotte entered the pantry. Evelyn entered the garden. Emily entered the garden. Charlotte likes the watermelon. The tie is in the box. Evelyn moved the tie to the bottle. Emily exited the garden. Evelyn exited the garden. Emily entered the pantry.,Where will Evelyn look for the tie?,bottle,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,first_order_0_no_tom,False,first_order,False,box,bottle,False,reality,"[""bottle"", ""box""]",0,true,mind
Ava entered the kitchen. Abigail entered the cellar. Jack entered the cellar. Abigail dislikes the shirt. The suit is in the basket. Abigail moved the suit to the crate. Jack exited the cellar.,Where does Abigail think that Jack searches for the suit?,crate,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits",true_belief,second_order_0_no_tom,False,second_order,False,basket,crate,False,reality,"[""crate"", ""basket""]",0,true,mind
Emily entered the porch. Alexander entered the porch. The gloves is in the crate. Evelyn entered the front yard. Alexander moved the gloves to the drawer. Evelyn exited the front yard. Evelyn dislikes the lettuce. Emily exited the porch.,Where will Emily look for the gloves?,drawer,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_2_enters,agent_1_exits,agent_2_exits",true_belief,first_order_0_no_tom,False,first_order,False,crate,drawer,False,reality,"[""drawer"", ""crate""]",0,true,mind
Mason likes the pumpkin. Mason entered the dining room. Amelia entered the dining room. The pants is in the pantry. Amelia likes the peach. Abigail entered the dining room. Mason exited the dining room. Amelia moved the pants to the cupboard.,Where will Mason look for the pants?,pantry,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_2_enters,agent_0_moves_obj",false_belief,first_order_0_tom,True,first_order,True,pantry,cupboard,False,memory,"[""pantry"", ""cupboard""]",0,false,mind
Benjamin entered the TV room. Elizabeth entered the laundry. Elizabeth exited the laundry. Ella entered the TV room. The grapes is in the box. Benjamin exited the TV room. Ella moved the grapes to the drawer.,Where was the grapes at the beginning?,box,1,"enter_agent_1,agent_2_enters,agent_2_exits,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,memory,False,memory,True,box,drawer,False,memory,"[""box"", ""drawer""]",0,true,fact
Jacob entered the garage. Noah dislikes the pumpkin. Jacob dislikes the broccoli. Jayden entered the garage. The pants is in the bathtub. Jacob exited the garage. Jayden moved the pants to the bottle. Jayden exited the garage. Jacob entered the back yard.,Where was the pants at the beginning?,bathtub,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,memory,False,memory,True,bathtub,bottle,False,memory,"[""bottle"", ""bathtub""]",1,true,fact
Alexander dislikes the apple. Alexander entered the pantry. Hannah entered the pantry. The carrot is in the envelope. Hannah exited the pantry. Hannah entered the playroom. Alexander moved the carrot to the bathtub.,Where does Alexander think that Hannah searches for the carrot?,envelope,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_1_reenters_alt_loc,agent_0_moves_obj",true_belief,second_order_0_tom,True,second_order,True,envelope,bathtub,False,memory,"[""envelope"", ""bathtub""]",0,false,mind
Lucas entered the basement. Isabella entered the basement. Lucas likes the hat. The green pepper is in the treasure chest. Isabella exited the basement. Lucas moved the green pepper to the crate.,Where was the green_pepper at the beginning?,treasure chest,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj",false_belief,memory,False,memory,True,treasure chest,crate,False,memory,"[""treasure chest"", ""crate""]",0,true,fact
Charlotte entered the lounge. Emma entered the hallway. Ethan entered the hallway. The carrot is in the box. Emma moved the carrot to the bathtub. Charlotte exited the lounge. Charlotte dislikes the banana. Ethan likes the banana. Ethan exited the hallway. Ethan entered the lounge.,Where does Emma think that Ethan searches for the carrot?,bathtub,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_2_exits,agent_1_reenters_alt_loc",true_belief,second_order_0_no_tom,False,second_order,False,box,bathtub,False,reality,"[""box"", ""bathtub""]",1,true,mind
Emily entered the garage. Amelia entered the garage. The banana is in the bottle. Emily moved the banana to the bathtub. Amelia exited the garage. Hunter loves the hat.,Where was the banana at the beginning?,bottle,1,"enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits",true_belief,memory,False,memory,False,bottle,bathtub,False,memory,"[""bottle"", ""bathtub""]",0,true,fact
Logan entered the master bedroom. Benjamin entered the master bedroom. The shoes is in the box. Benjamin exited the master bedroom. Logan moved the shoes to the suitcase. Benjamin entered the master bedroom.,Where was the shoes at the beginning?,box,1,"enter_agent_0,enter_agent_1,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,memory,False,memory,False,box,suitcase,False,memory,"[""box"", ""suitcase""]",0,true,fact
Isabella entered the bedroom. Jackson entered the bedroom. Noah entered the bedroom. The watermelon is in the basket. Jackson moved the watermelon to the drawer. Noah exited the bedroom. Jackson exited the bedroom. Isabella exited the bedroom. Noah entered the bedroom.,Where does Noah think that Jackson searches for the watermelon?,drawer,1,"agent_2_enters,enter_agent_0,enter_agent_1,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_loc,agent_2_exits",second_order_false_belief,second_order_1_no_tom,False,second_order,False,basket,drawer,False,reality,"[""drawer"", ""basket""]",0,true,mind
Carter entered the laundry. Abigail likes the coat. Abigail entered the laundry. The celery is in the cupboard. Carter likes the green pepper. Abigail moved the celery to the container. Carter exited the laundry.,Where does Carter think that Abigail searches for the celery?,container,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits",true_belief,second_order_0_no_tom,False,second_order,False,cupboard,container,False,reality,"[""cupboard"", ""container""]",1,true,mind
Isabella entered the bathroom. Charlotte entered the bathroom. Mia entered the bathroom. The jacket is in the bucket. Mia exited the bathroom. Mia entered the playroom. Isabella loves the potato. Isabella moved the jacket to the box.,Where will Mia look for the jacket?,bucket,1,"enter_agent_0,agent_2_enters,enter_agent_1,agent_1_exits,agent_1_reenters_alt_loc,agent_0_moves_obj",true_belief,first_order_1_tom,True,first_order,True,bucket,box,False,memory,"[""bucket"", ""box""]",0,false,mind
Emma entered the basement. Isabella entered the basement. The cabbage is in the pantry. Emma exited the basement. Isabella moved the cabbage to the box. Emma entered the basement.,Where will Isabella look for the cabbage?,box,1,"enter_agent_1,enter_agent_0,agent_1_exits,agent_0_moves_obj,agent_1_reenters_loc",false_belief,first_order_1_no_tom,False,first_order,False,pantry,box,False,reality,"[""pantry"", ""box""]",1,true,mind
Carter entered the laundry. Jackson entered the patio. Carter exited the laundry. Mason entered the patio. Mason hates the cucumber. The pajamas is in the cupboard. Jackson hates the t-shirt. Jackson exited the patio. Mason moved the pajamas to the envelope.,Where does Jackson think that Mason searches for the pajamas?,cupboard,1,"agent_2_enters,enter_agent_1,agent_2_exits,enter_agent_0,agent_1_exits,agent_0_moves_obj",false_belief,second_order_0_tom,True,second_order,True,cupboard,envelope,False,memory,"[""cupboard"", ""envelope""]",0,false,mind
William likes the persimmon. Olivia entered the office. James entered the office. The t-shirt is in the bucket. James moved the t-shirt to the bottle. Olivia loves the belt. Olivia exited the office. James exited the office. Olivia entered the study.,Where was the t-shirt at the beginning?,bucket,1,"enter_agent_1,enter_agent_0,agent_0_moves_obj,agent_1_exits,agent_0_exits,agent_1_reenters_alt_loc",second_order_false_belief,memory,False,memory,False,bucket,bottle,False,memory,"[""bottle"", ""bucket""]",1,true,fact
